t_DVL,WX,WY,WZ,BX,BY,BZ,t_imu,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,t_filter,PN,PE,Sample period (seconds),Time Since Start of Day (seconds),No of GPS Satellites Available,Latitude (degrees),Longitude (degrees),Velocity (km/hr),Indicated Vehicle Speed (km/hr),Wheel Speed Front Left (rad/sec),Wheel Speed Front Right (rad/sec),Wheel Speed Rear Left (rad/sec),Wheel Speed Rear Right (rad/sec),Steering Angle (degrees),Yaw Rate (deg/sec),Indicated Longitudinal Acceleration (g),Indicated Lateral Acceleration (g),Heading (degrees)
2017/08/23/12:21:54.732374,-0.19,-0.227,-0.101,-0.2,-0.083,-0.045,2017/08/23/12:21:54.732762,0.87867584,-9.75173276,-2.51834772,-0.139277274,0.285535866,0.092153385,0.2962,0.2921,0.2516,2017/08/23/12:21:54.738439,21.3522208,37.29720803,0.251888,7.922895370189885,10,0.00019180938555515633,0.0003350449876931369,1.065679051121866,1.065679051121866,0.2960219586449627,0.2960219586449627,0.2960219586449627,0.2960219586449627,0.0,5.280000028344188,0.08956940265035677,-0.25671230581039756,279.16036045693147
2017/08/23/12:21:54.982774,-0.134,-0.093,-0.076,-0.181,-0.151,-0.017,2017/08/23/12:21:54.984677,0.53348176,-9.66543424,-2.53403836,-0.10262536,0.292168117,0.328121899,0.2879,0.2691,0.2788,2017/08/23/12:21:54.982504,21.35311076,37.28122687,0.251915,8.174810370189885,10,0.00019181738016528925,0.0003349014271469637,0.5871974114384362,0.5871974114384362,0.16311039206623226,0.16311039206623226,0.16311039206623226,0.16311039206623226,0.0,18.799999978517867,0.05438142303771661,-0.2583117594291539,273.18739937559974
2017/08/23/12:21:55.259290,-0.156,-0.223,-0.074,-0.139,-0.098,0.017,2017/08/23/12:21:55.261063,-0.14121576,-9.48499188,-2.7850886,-0.0429351,0.274016693,0.464257581,0.2921,0.2398,0.3021,2017/08/23/12:21:55.274447,21.34257206,37.2719631,0.276386,8.451196370189885,10,0.00019172270984549046,0.00033481820966582823,0.9797358827765779,0.9797358827765779,0.27214885632682717,0.27214885632682717,0.27214885632682717,0.27214885632682717,0.0,26.599999998252954,-0.014395082568807338,-0.2839030173292558,221.3162459971736
2017/08/23/12:21:55.516911,0.067,0.057,-0.164,-0.044,-0.049,0.026,2017/08/23/12:21:55.513135,-1.0983448,-9.19471504,-2.9812216,-0.008726646,0.230034395,0.386415896,0.2982,0.2141,0.3181,2017/08/23/12:21:55.518673,21.34499143,37.26123501,0.252072,8.703268370189885,10,0.00019174444331656487,0.00033472183803449516,0.3166772489459892,0.3166772489459892,0.087965902484997,0.087965902484997,0.087965902484997,0.087965902484997,0.0,22.13999997756615,-0.11196175331294597,-0.3038961875637105,282.70859184724634
2017/08/23/12:21:55.777266,0.093,0.117,-0.079,0.054,0.058,0.018,2017/08/23/12:21:55.781133,-1.8436502,-8.91228352,-3.05182948,-0.00837758,0.17243853,0.092153385,0.2972,0.1968,0.3315,2017/08/23/12:21:55.762609,21.35610958,37.25980738,0.267998,8.971266370189886,10,0.0001918443189004671,0.0003347090134746676,0.5380524881459057,0.5380524881459057,0.1494590244849738,0.1494590244849738,0.1494590244849738,0.1494590244849738,0.0,5.280000028344188,-0.18793580020387357,-0.31109372884811415,352.6829541033006
2017/08/23/12:21:56.037875,0.228,-0.05,-0.189,0.205,0.136,-0.044,2017/08/23/12:21:56.041209,-1.70243444,-8.83383032,-3.23227184,-0.008028515,0.146607657,-0.269478837,0.2806,0.2024,0.3391,2017/08/23/12:21:56.054432,21.3870618,37.26601793,0.260076,9.231342370189886,10,0.00019212236615163495,0.000334764803539346,0.8403050874533606,0.8403050874533606,0.23341807984815574,0.23341807984815574,0.23341807984815574,0.23341807984815574,0.0,-15.440000028193852,-0.17354071763506626,-0.3294874454638124,11.34571482429776
2017/08/23/12:21:56.326463,0.168,0.038,-0.211,0.226,0.138,-0.113,2017/08/23/12:21:56.325671,-0.65900688,-9.03780864,-3.4127142,-0.028972466,0.137881011,-0.381179909,0.2422,0.2169,0.3477,2017/08/23/12:21:56.306471,21.42380227,37.30481947,0.284462,9.515804370189885,10,0.00019245240989938914,0.00033511336210923463,0.6200784466500994,0.6200784466500994,0.17224401295836092,0.17224401295836092,0.17224401295836092,0.17224401295836092,0.0,-21.840000020880783,-0.06717705198776758,-0.3478811620795107,46.56285652190834
2017/08/23/12:21:56.587901,0.167,-0.061,-0.255,0.253,0.062,-0.211,2017/08/23/12:21:56.585616,0.22751428,-9.08488056,-3.44409548,-0.046774824,0.152192711,-0.202807259,0.2096,0.2264,0.3558,2017/08/23/12:21:56.590420,21.4536514,37.359091,0.259945,9.775749370189885,10,0.00019272054796981672,0.00033560088932806326,0.6400512479481625,0.6400512479481625,0.17779201331893402,0.17779201331893402,0.17779201331893402,0.17779201331893402,0.0,-11.61999999531658,0.02319207747196738,-0.35108006931702346,61.18937768588234
2017/08/23/12:21:56.847293,0.197,-0.085,-0.313,0.232,-0.067,-0.247,2017/08/23/12:21:56.845520,0.588399,-9.08488056,-3.52254868,-0.046076692,0.172089464,0.061784656,0.1907,0.2256,0.3621,2017/08/23/12:21:56.834484,21.45629741,37.43112407,0.259904,10.035653370189886,10,0.00019274431737333812,0.00033624797044556236,0.7723992749867131,0.7723992749867131,0.21455535416297586,0.21455535416297586,0.21455535416297586,0.21455535416297586,0.0,3.540000027467639,0.05997951070336391,-0.3590773374108053,87.89628469158976
2017/08/23/12:21:57.108663,0.111,-0.156,-0.251,0.232,-0.15,-0.265,2017/08/23/12:21:57.105906,0.41580196,-9.12410716,-3.45978612,-0.033859387,0.161617489,0.304036356,0.1866,0.2182,0.3724,2017/08/23/12:21:57.118523,21.41891896,37.51111942,0.260386,10.296039370189886,10,0.0001924085425799497,0.00033696657761408553,0.6892566430583024,0.6892566430583024,0.19146017862730622,0.19146017862730622,0.19146017862730622,0.19146017862730622,0.0,17.420000017337003,0.04238552089704383,-0.3526795229357798,115.04469894198456
